year_month,avg_salary,count_in_day,quarter,month,year,split,Полный_плановый_объем_потребления_электроэнергии_month,Предложения_новостроек_month,Всего_введено_зданий_quarter,"Жилые_здания,_жилые_помещения_и_т.п._quarter",Ипотека_всего_в_деньгах_month,Средства_на_счетах_эскроу_в_рублях_накопительный_итог_month,Ипотека_по_ДДУ_в_деньгах_month,Ипотека_по_ДДУ_в_количестве_выданных_кредитов_month,Ипотека_всего_в_количестве_выданных_кредитов_month,Коммунальное_хозяйство_-_всего_накопительный_итог_на_начало_месяца_-_собирается_month,"из_них_Закупка_товаров,_работ_и_услуг_для_обеспечения_государственных_муниципальных_нужд_month",из_них_Капитальные_вложения_в_объекты_государственной_муниципальной_собственности_month,из_них_Иные_бюджетные_ассигнования_собирается_month,Оценка_объема_потребеления_безина_quarter,Оценка_объема_потребеления_ДТ_quarter,Цена_на_95_бензин_розничные_цены_month,Цена_на_92_бензин_розничные_цены_month,Цена_на_ДТ_розничные_цены_month,Розничная_продажа_бензинов_автомобильных_в_деньгах;_накопительный_итог_quarter,Розничная_продажа_Дизельное_топливо_в_деньгах;_накопительный_итог_quarter,автоуслуги_по_тратам_потребителей_-_Тинькофф_индекс_month,топливо_потратам_потребителей-Тинькофф_индекс_month,из_коммерческих_торговые_площади_quarter,Индекс_потребительской_активности_-_Сбериндекс_month,дом_и_ремонт_по_тратам_потребителей_-_Тинькофф_индекс_month,медуслуги_по_тратам_потребителей-Тинькофф_индекс_month,рестораны_по_тратам_потребителей-Тинькофф_индекс_month,Доля_онлайн_платежей_в_безналичных_тратах_населения_month,Нижегородская область_Индекс потребительских цен на товары и услуги,Нижегородская область_Индекс промышленного производства (по месяцам),Нижегородская область_Коэффициент ликвидации организаций (по месяцам),Нижегородская область_Коэффициент рождаемости организаций на  организаций по субъектам Российской Федерации,Нижегородская область_Оборот розничной торговли (в % к пред месяцу),Нижегородская область_Объем платных услуг населению,Нижегородская область_Численность зарегистрированных безработных (по месяцам),Нижегородская область_Cреднедушевые денежные доходы,Нижегородская область_Индекс производства продукции сельского хозяйства (поквартально),Нижегородская область_Количество организаций,Нижегородская область_Уровень безработицы (по методологии МОТ),Нижегородская область_Численность безработных (МОТ),Нижегородская область_Численность занятых (по обследованиям),Нижегородская область_Численность принятых работников (по кварталам),Нижегородская область_Численность рабочей силы,Нижегородская область_Численность требуемых работников на вакантные рабочие места,Нижегородская область__ВРП на душу населения,Нижегородская область__Численность населения на  январ,Нижегородская область_Динамика инвестиций в ОК (%),Нижегородская область_Доля инвестиций в ОК к ВРП,Нижегородская область_Индекс физического объема ВРП,Нижегородская область_Количество активных предприятий,Нижегородская область_Количество умерших предприятий,Нижегородская область_Коэффициент миграционного прироста,Нижегородская область_Коэффициент напряженности на рынке труда,Нижегородская область_Наличие основных фондов,Нижегородская область_Показатели предпринимательской активности _акти,Нижегородская область_Показатели предпринимательской активности _рос,Нижегородская область_Показатели предпринимательской активности _уга,Нижегородская область_Потребительские расходы в среднем на душу населения,Нижегородская область_Потребность в работниках,Нижегородская область_Степень износа ОФ,"Нижегородская область_Численность обучающихся (квалиф рабочие, служащие)"
2022-11,,,4.0,11.0,2022.0,15.5,1682726.4402998416,3413.1448410485523,815.3219213445607,684.037911217348,9517.721357422375,54512.59996351378,3060.0331701897962,738.0988712136842,3151.393257377235,413580751.63912815,78889137.82532057,124880337.6249003,198317371.7488914,274.9554314656495,108.98906681553278,51.77415494786656,47.984768321391115,51.83183064582759,13528228.663036196,5646063.651564858,168.58383996908742,102.86843348634254,10.355361108918842,68.21714537293265,156.21168974046523,144.4767239464367,72.84797618197506,17.942238673501038,100.94109313182454,107.37891166170313,8.285341877372089,5.653535308672879,98.00722683485485,108.19659473802184,11078.607404034175,43478.92825093625,103.51395603916271,69997.20865366871,72.53625965365904,72.53625965365904,1672.5623955431754,53.375905062269496,1730.6589466484986,44.26554270484769,498743.89886449673,3182.729938069721,104.73190775966215,20.22791894391357,99.68910279091324,59529.74824069714,8397.837357121687,12.652205567291215,1.399823029859373,6881294.954412018,63055.7052831784,12790.623788603842,1852.7699944225953,26407.66676137813,44678.382762532216,44.644623955431754,11193.74335563665
2022-12,,,4.0,12.0,2022.0,15.754098360655734,1896537.9334900074,3866.234448589165,815.3217559426872,684.0340159547835,11172.482796774073,60261.23846732997,3299.997825252631,795.9867681218474,3583.8781113689906,1454252848.3535721,205374932.58072683,334561309.17142546,420031801.2274656,274.9511143589374,108.98890532028351,51.90232879779303,48.15693315072504,53.966138580440386,13524271.898396382,5644713.796846418,154.60467899884978,107.93065861915552,10.34780431952967,72.2059437997668,167.61824351123875,142.03130788322173,82.15167951406585,17.20649892740861,100.7151994304987,109.85262160389674,12.785906928225558,5.815493217292062,111.99776002767081,108.43415526965971,11529.177670397112,43444.44836346114,103.5136670777192,69949.12890857166,72.53625959177838,72.53625959177838,1672.5623955431754,53.37193516106261,1730.649789943657,44.05777038051447,498740.7544118461,3182.7228784397203,104.73180121812901,20.224326294983502,99.68818448698471,59506.6047948029,8393.074092177,12.550697727178704,1.3961529930227308,6874549.75288401,63130.83724431744,12864.939076551014,1857.5814560704703,26407.665409348563,44653.43736455161,44.644623955431754,11193.378941942085
2023-01,,,1.0,1.0,2023.0,16.0,1732338.6582704415,3251.6152131939184,698.5152200160643,551.9493664553528,5295.686021234483,85485.59153098102,1878.741888347772,425.3997309143178,1726.5445495964511,33463248.96911833,6299879.727560281,7390582.509385862,13513393.660856893,251.1872837673509,97.81896941499869,51.62058136282739,47.853976065770254,54.0686786039415,12630829.514362724,5138760.719544998,137.14278575430515,103.11655103265993,2.5203193750883632,63.32908721911116,152.16288546476474,129.74209099774143,81.85122664026571,17.011504054887496,101.18376505840195,107.0540984498196,8.290515747001267,3.7402181572409554,84.17329037387123,110.62937381861202,18046.443058205743,37499.37200409326,98.33290425349287,69185.50270171442,72.58430622991915,72.58430622991915,1664.8011635286093,49.10242175069384,1719.3515567169175,49.36561589071746,496472.8137912385,3172.9942942596613,105.88871799181592,20.91107217862788,99.2889855885793,58074.13968362569,8353.001965049418,24.933102546146607,1.2892713541797958,7397551.478790162,60136.41663065399,10847.278545821026,1584.075122379838,26649.80603232664,45741.37450035568,44.1881418657474,11251.673138705944
2023-02,,,1.0,2.0,2023.0,14.5,1659242.818520567,3042.575965952631,698.5151792503813,551.9443159555375,7675.741482410579,86110.76515294683,2918.309734517984,624.0909172293149,2460.2479884847808,250219159.14291,15597533.61089945,13112452.05572948,62280654.08510295,251.18613672547363,97.81860508753599,51.64491842030427,48.31321898473642,54.18839211899226,12625372.847192705,5136882.872141198,150.69245462008104,103.33565032862131,2.517292635219577,68.06677347906893,153.52789653376456,148.30102106872963,87.52273401049986,17.006977738680867,100.95082540197107,111.13420046548059,8.387298391964187,5.502809349552631,98.74298660436837,111.48270944247518,14546.168330982506,37492.075072631866,98.3327201573163,69128.67109018491,72.58430615924208,72.58430615924208,1664.8011631526751,49.101015982332534,1719.3437293825132,49.20515672167973,496468.65649676893,3172.983072661116,105.88859470073824,20.903333685733408,99.28824431807269,58039.59787379804,8344.278895739042,24.59706306443735,1.285214009242344,7387946.956385696,60224.25019320829,11238.195617756199,1753.8863976773646,26649.80512050251,45717.548615301486,44.18814186578845,11251.051634724825
2023-03,,,1.0,3.0,2023.0,16.0,1725404.1036254494,2985.8311701020148,698.5151384790141,551.9392699094712,8818.184376304547,80807.62584311746,3109.7007308177685,699.6248994765559,2816.2251161612458,128037927.62643358,20193572.15990864,42220493.684937,59937431.54950988,251.18498827234936,97.81824057981468,52.0212210755598,48.8425322073024,53.8939766746695,12619947.781853866,5135017.633755307,172.16864534308368,98.06462815049923,2.514234121857293,68.16678727470894,156.49909820543257,151.20356704140582,80.79756879295401,16.186299588415007,101.22388088619428,107.94184807595005,9.888560160833222,6.2817220610549125,109.190131689552,109.72844443253344,15026.474765704666,37484.83797837692,98.33253591596704,69071.33782207011,72.58430608856433,72.58430608856433,1664.801160369112,49.099614586895584,1719.3358965137406,49.04890939410418,496464.50414409384,3172.971845007717,105.88847144819981,20.89564092678445,99.28750222552392,58004.831437997724,8335.491212369327,24.28124403170899,1.2810916831310517,7378494.952483352,60684.30788073678,11743.79988564131,1867.8426028753136,26649.804208775786,45693.95579158075,44.18814186578857,11250.431356415549
2023-04,,,2.0,4.0,2023.0,15.5,1620900.677263048,3041.284739987253,483.1953958642093,434.0480051673539,6488.6297634801795,80729.5638933226,2113.0459554977897,470.57021725242623,2219.6369383742567,152629803.44511503,19545839.895059507,41615291.34391954,69617653.59804808,274.99664124553834,102.17723239032148,52.288674249567826,49.017090454406535,52.81811837324185,13883246.509599587,5387805.866708904,158.98326484096597,101.88621213721035,3.9780975540523285,68.066650321261,114.10010902088273,142.47658655685154,82.54098589556068,17.00697673413334,101.21372873243787,110.58364811962228,7.6029798702718425,6.0318063198649705,98.27111230234924,111.01627570866566,15990.029014061816,41309.19508590283,99.43552530665801,68474.7944504513,73.58011338389201,73.58011338389201,1663.491714024436,50.27929836574298,1723.751687172491,52.17396962166882,496460.3567244069,3172.9606112945617,105.88834823418264,20.887993497548926,99.28675930956473,57969.83817795736,8326.638194351584,23.98387367169105,1.2769028021667532,7369191.862741921,61649.108481524345,12123.14442423084,1955.8107219774647,26649.80329714644,45670.592626179365,44.18814186578871,11249.812300155965
2023-05,,,2.0,5.0,2023.0,16.0,1554318.0594861445,3436.819709622801,483.19536765289115,434.0470303071289,5151.60828997398,80898.21360508312,1880.7631083477786,462.9031419987867,1809.9325067864893,131755499.59365463,22935216.049210146,35951768.38126931,61360540.28956442,274.99413888526186,102.17692657851536,52.777605269322464,49.205657851174365,53.44439085192528,13881107.407613805,5385122.903919783,129.34343981883364,103.76171360470501,3.974574422745692,68.06658871975057,127.50015394371859,131.7090582932028,82.932359215925,17.006976231826165,100.87126636261893,111.95855702906431,5.826173164049774,3.917067326582184,104.68226896876509,109.04546133489168,15423.782322489204,41260.44042772075,99.43460963775637,68416.8932529445,73.580113294336,73.580113294336,1663.491711200535,50.27325624945384,1723.7386906275174,52.015723193999996,496456.2142289229,3172.9493715167437,105.88822505866864,20.88039099854463,99.286015568824,57934.61586663156,8317.719110342285,23.70338133155464,1.2726457414427297,7360034.195503691,62405.848104768476,12428.732051107681,2028.2273449943566,26649.802385614457,45647.45578201398,44.188141865788815,11249.194462338157
2023-06,,,2.0,6.0,2023.0,15.5,1474835.44099874,4001.6358607423053,483.1953394376387,434.0460562920449,7287.306788032177,78782.69934325825,2569.451121222989,604.6418982069544,2502.8765171085583,390019810.96840256,32411891.86998071,71893591.1024088,204894752.16166463,274.9916334631926,102.17662061483887,52.972661654189466,49.180971703158114,53.869618787857426,13878979.436966885,5382458.517485122,144.1227625677889,107.84076950996159,3.9710111463245283,68.06652710316179,152.66383332205396,131.1564162831074,90.82515079812954,17.00697572949672,100.7702899208008,111.10179989580894,13.78088301089666,5.1473675067245885,102.68939628279112,111.20189142208169,14462.185093835862,41212.1760302407,99.43369325937417,68358.47409949293,73.58011320477921,73.58011320477921,1663.491711326497,50.26723394526586,1723.7256849609696,51.86147317554902,496452.0766488773,3172.938125669348,105.88810192163972,20.872833034969727,99.28527100192736,57899.162247724766,8308.733218041656,9.692655475629145,1.2683188227231041,7351018.567425021,62928.14335735679,12685.323416265723,2090.108952375714,26649.801474179847,45624.541986342774,44.18814186578891,11248.577839368412
2023-07,,,3.0,7.0,2023.0,16.0,1580290.4288183514,4102.873283284146,552.8847225180159,403.74169961011916,8061.521354184645,68423.78580218149,2307.956606459142,525.0009748817612,2513.739702762892,286882000.06233203,41828831.10670986,85438203.09835713,94803947.90857354,282.03040222868094,102.26699837854929,53.02785749683751,49.26490274277965,53.78105912919404,14325053.111703886,5369517.934662172,180.5923548364787,105.76814551827113,4.812626770644362,68.16658954545464,148.66010213838078,145.55005953315364,80.9103603133468,17.006975227144995,100.76019915242348,107.32017150175169,6.380925741669077,4.97429608615488,103.34498186987992,107.71159019016542,15874.964446925025,38534.16901697174,99.89737232047598,67199.6665174681,70.88084266126646,70.88084266126646,1671.6741532117887,52.28039600848493,1726.580768228031,50.420809244006,496447.9439755263,3172.9268737474604,105.88797882307787,20.865319216634344,99.2845256074976,57863.47503520907,8299.67976398775,9.463130556267313,1.2639203122369298,7342141.69930868,63082.634981994845,12906.732446536922,2144.2982040890934,26649.800562842567,45601.848029222376,44.18814186578909,11247.962427667144
2023-08,,,3.0,8.0,2023.0,16.0,1601447.4299647473,4899.2583283684635,552.8845615885486,403.73708138532766,8682.347537728197,75181.12266625332,2436.9117201700437,563.7503351804721,2679.73498483116,304585451.37199694,43979084.747309975,85432642.70014283,126165167.88334842,282.0265666127384,102.2669210520867,53.49811757960043,49.522449343703784,53.92222019114519,14319059.665095622,5366098.37886617,154.38782456688406,117.9955610868328,4.803470582415611,68.16654008284,156.51534771025328,143.15077213265556,96.08182754428492,17.006974724770995,100.18701388032078,116.57595207544495,8.584516484013836,4.913694366041878,100.94393519826015,110.38570966285714,14523.173189274628,38489.88584861345,99.89663120182837,67125.65056077762,70.88084257499348,70.88084257499348,1671.6741533376917,52.275818280723314,1726.5702875748816,50.169042730280076,496443.81620014686,3172.9156157461553,105.88785576296513,20.85784915789345,99.28377938415426,57827.5519128332,8290.557983345827,9.251101522167193,1.2594484183618615,7333400.412127137,63227.74286119505,13101.518476465108,2192.5803403626674,26649.799651602607,45579.37076200876,44.188141865789184,11247.3482236688
2023-09,,,3.0,9.0,2023.0,15.5,1629777.9291743047,4765.935495584089,552.8844006367078,403.7324672438887,8844.710840858701,75148.83641291136,3335.765056156089,700.2491471792198,2693.561993032188,289405099.40879637,84550256.64534397,83159979.7856073,126088259.43033075,282.02272632938127,102.26684368684721,53.245129105423935,49.17260579231435,53.822263902211816,14313100.336261032,5362703.260876345,154.78775431712037,108.5275346804866,4.794226573384465,68.16649060809597,148.58733584907645,144.23895407843798,94.31210161443279,17.006974222374712,100.5592640587692,109.8858249245348,12.655383418745025,4.873511083178143,96.34193068456926,109.25669177284985,13217.161489837184,38446.041360303796,99.89588950558914,67050.99811509052,70.88084248871971,70.88084248871971,1671.6741507378754,52.27125520305011,1726.559799527002,49.92444963352547,496439.6933140367,3172.9043516605047,105.88773274128343,20.8504224775809,99.28303233051388,57791.39053362116,8281.367099692985,9.054641343125695,1.254901289190924,7324791.623226702,63364.390015428195,13275.382784410425,2214.2472641495606,26649.798740459966,45557.107095900916,44.1881418657893,11246.735223821814
2023-10,,,4.0,10.0,2023.0,16.0,1664046.0707947654,3773.030348477398,814.6396616938905,687.5937717061508,10233.367376761118,59283.451129023524,3483.046750312696,765.7820850348164,3088.3761452282647,425952722.9051396,89206612.29502678,121117872.90467715,136439843.50302008,272.9212076331777,108.66121699827872,53.673349885840814,49.716855230259206,53.71245149353056,13937830.383872082,5853496.616970729,188.4853979940313,106.30943916561165,9.583284202026539,71.36765207735087,154.12169266323954,149.20521711991591,80.76254021277872,17.366344454089248,101.13223741975663,106.67838220438145,11.655611368735304,5.2539715020579925,101.41060399704544,109.70397998324692,12345.01538003946,45594.9672206422,103.0231201270158,65747.10035837625,72.53233892308894,72.53233892308894,1672.672428376085,54.36545080725566,1723.2446587621448,50.08692706900445,502264.50254797935,3172.312173224695,104.92713072306036,20.868054817743094,99.01964177990007,56851.4158716644,7933.594486135775,15.691071346796868,1.2240385688065205,7458415.982330314,62143.48395537043,12272.806416886657,1719.648697121825,26424.58697758023,47104.207723829095,44.188141865789454,11319.75037400252
2023-11,,,4.0,11.0,2023.0,15.5,1680910.8584557485,3826.6663027267177,814.6394488509575,687.5883164596811,10431.354389242024,63056.70055146861,3501.827195711804,766.2107257014601,3143.818146887903,458160153.4737684,90149889.48374511,128390374.07827333,215699298.0567971,272.9156674668306,108.6609737841827,53.88819996172328,49.91754863125819,54.126559430714615,13932721.816099767,5851463.54238316,177.72382711941822,104.02308523623509,9.571456949537053,68.11630520802535,162.94746418636674,151.10044940248937,71.85980979121982,17.937459096913386,101.08154113352668,108.93875220173132,7.985453490664615,5.3837831252857615,98.04989777888676,110.36260083722088,12375.212976068882,45550.23465678929,103.02263850699772,65680.29633476607,72.53233884355122,72.53233884355122,1672.6724274727167,54.35988038209381,1723.2328933425647,49.787558855182716,502259.266116901,3172.302294278555,104.92699366248837,20.862663821902537,99.01835477322504,56819.22589479043,7926.94225672482,15.50407153187696,1.2189625731700853,7447091.390360348,62233.54662231048,12356.25068302692,1725.52038345829,26424.58472129,47066.96015742914,44.18814186578957,11319.26375121046
2023-12,,,4.0,12.0,2023.0,16.0,1894491.4752052568,4329.96823990123,814.6392359784164,687.5828659942175,12236.449964389629,69584.58359266222,3770.7728497524877,826.2074721495419,3575.2616964542212,1609609641.6718893,234345840.26957652,343942916.1147759,456579395.5509304,272.9101206229399,108.6607304488722,54.0144206592041,50.09015905432639,56.34657633755278,13927641.683604036,5849443.919195341,162.94906803188826,109.14099943454106,9.559499299612792,72.0991941506192,174.81998520466541,148.51813692227452,81.03604937694239,17.201915240467482,100.8553168804645,111.44646709202593,12.321720246757724,5.536905683450266,112.0465204805098,110.60130176073177,12865.483489732293,45505.92821354173,103.02215650870272,65612.89621949705,72.53233876401279,72.53233876401279,1672.672528035575,54.354328109851856,1723.2211196324256,49.49731993013042,502254.0359041362,3172.2924099815727,104.92685664474388,20.857303221092838,99.01706635215253,56786.81638510856,7920.236617967354,15.327524219045724,1.213803380249086,7435944.978112891,62319.27991825143,12433.368386802505,1731.1570014278216,26424.582465240903,47030.09282376288,44.188141866358414,11318.778071524963
2024-01,,,1.0,1.0,2024.0,16.0,1730469.2110272555,3637.7690164923993,697.9304400321288,554.811708069191,5796.0290318517245,98543.18306196199,2143.6128325216573,441.49966364289736,1722.3927327952676,37006559.84639793,7178237.486747041,7597342.505847817,14680749.775028272,249.32153754082302,97.52435424547348,53.71410848376989,49.76863475436034,56.444904805255355,13006617.817235267,5324578.626059998,144.5115715086103,104.27182654898986,2.327092500117817,63.235449625481536,158.67726124272062,135.64518199548286,80.73841735010589,17.006972212566758,101.32451807008238,108.60546459975944,7.98861889640152,3.5603272358614317,84.20993556080684,112.836717273265,20118.13166984689,39271.744008186535,97.86580850698576,64874.33693561925,72.58038278739895,72.58038278739895,1663.908907694291,50.00484350138768,1711.9687422892237,55.39842383607621,499968.0674179127,3162.592867824575,106.08589748976988,21.56384022328485,98.62017972016459,55409.67460453212,7880.2023580593,30.349653819219927,1.1190284722397277,7997573.218185242,59374.065449167094,10487.760022758648,1477.223673053394,26666.8772949653,48165.18433597186,43.59926060744281,11377.607766447132
2024-02,,,1.0,2.0,2024.0,15.0,1657452.0913607553,3400.363948928947,697.9303585007625,554.8053949444219,8395.289778892695,99098.53030589367,3324.9646017769755,647.6363758439721,2454.330651313041,276482281.46721333,17747235.61119927,13478434.663594218,67622322.38765442,249.3192434570685,97.52391705251827,53.73237763045641,50.239828477104616,56.56118949198967,13000069.816631244,5322074.829521598,158.75318193012154,104.49230065724258,2.323056846959436,67.96611839971166,160.07734480064684,155.0230316030944,86.3314680209997,17.00244700158295,101.09123810295664,112.74275058185076,8.080947587946278,5.237079132736844,98.78597320873672,113.703386803094,16200.210413728133,39257.15014526373,97.8654403146326,64798.561453579874,72.58038269905259,72.58038269905259,1663.9089074988442,50.00203196466506,1711.9583058433511,55.1577350825196,499961.8314762083,3162.578840826395,106.08574337592279,21.554167107166762,98.61906781440472,55366.49734224755,7869.73467488685,29.845594596656017,1.113618678989792,7983166.434578543,59471.20770505858,10870.122502443053,1636.6132782599514,26666.875471317042,48129.445508390585,43.59926060748991,11376.861961669787
2024-03,,,1.0,3.0,2024.0,16.0,1723541.8048339325,3333.538962627518,697.9302769580282,554.799087386839,9638.421251565456,92844.251686235,3538.051096226653,725.9373492148343,2809.4502323224915,141360322.520542,22945112.724885795,43396178.41867125,65041645.65934651,249.3169465508199,97.52347964325271,54.1168316133397,50.7837983109536,56.245302232892676,12993559.738224635,5319587.845007074,181.3372906861673,99.1612563009985,2.3189788291430578,68.06597187442235,163.15164730814888,158.03135056210868,79.69658979136379,16.18198738801876,101.36465706343313,109.50231009493756,9.526272192999864,5.977152576318643,109.23766461193995,111.91055554066679,16719.093457130835,39242.67595675384,97.86507183193413,64722.117096093476,72.5803826107054,72.5803826107054,1663.9089060590632,49.99922917379115,1711.9478620183206,54.923364091156294,499955.6029471957,3162.5648062596465,106.0855893102498,21.54455115848056,98.61795467558152,55323.03929749717,7859.189454843192,29.371866047563486,1.1081222441747351,7968988.4287250275,59935.719606770406,11363.644147538509,1744.0204030262246,26666.873647863587,48094.056272809474,43.599260607490045,11376.117627698664
2024-04,,,2.0,4.0,2024.0,15.5,1619151.0158945718,3392.0463199830047,482.7907917284185,436.2960103347077,7087.537204350226,92607.1277866452,2400.807444372238,488.2127715655327,2214.2961729678204,168374472.44013804,22179219.958824385,42771440.55522606,75504449.96073075,272.95024601586493,101.8692589345038,54.38801137435174,50.958863068008185,55.114157830989114,14293246.764399385,5580883.83338613,167.41233105120747,103.02451517151295,3.6671463310784937,67.96597061034213,118.93321804176544,148.88617311370302,81.41497179112137,17.00244579612592,101.35447447892548,112.18037774354671,7.32357584432621,5.738167583837964,98.31389037793652,113.22034463583208,17774.434816874174,43238.83410308339,98.9626303679896,64140.39260060173,73.57613606067041,73.57613606067041,1663.2316072154645,51.199122957178716,1716.342024606989,58.36095443250324,499949.3818176654,3162.550764118202,106.08543529272829,21.534991871936153,98.61684030164278,55279.29772244669,7848.565833221899,28.92581050753658,1.1025370695556709,7955033.794112883,60898.70060409762,11735.208799255097,1827.2485744495964,26666.871824604903,48059.0115247074,43.599260607490216,11375.374760187156
2024-05,,,2.0,5.0,2024.0,16.0,1552640.1189722891,3829.426279497069,482.7907353057824,436.29406061425766,5623.477719965306,92656.42721016624,2134.0174777970387,480.2041893317155,1805.5766757153194,145231020.41838557,25990933.72901269,36948267.47690397,66512817.80547729,272.9464924754501,101.86887666974616,54.88950658665308,51.14848677676155,55.75926902231032,14290038.11142071,5577530.12989973,136.1708796376673,104.9198920058813,3.6618616341185377,67.96589668852961,132.8818719249581,137.6121165864056,81.79971843185001,17.002445193357314,101.01151963514269,113.57319628633041,5.611407796859728,3.7256009898732754,104.72783621095631,111.20682666861455,17129.138786987045,43180.3285132649,98.9615315653076,64063.19100392599,73.5761359532032,73.5761359532032,1663.231605754845,51.191570311817294,1716.3264287530205,58.12358479099999,499943.1680744394,3162.536714395929,106.08528132333578,21.52548874818079,98.61572469053169,55235.269833289465,7837.862932410739,28.505071997331964,1.0968609885903058,7941297.293255536,61656.156204248335,12035.511167007815,1896.0077271431703,26666.870001540963,48024.30625845931,43.59926060749033,11374.633354805786
